order,asn_description,count,name,industry
1," ATT-INTERNET4, US",1626969,美国电话电报公司（ATT）,云计算数据中心
2," COMCAST-7922, US",722621,康卡斯特公司,公共通信
3," CHINANET-BACKBONE No.31,Jin-rong Street, CN",647923,中国电信互联网数据中心(北京),公共通信
4," CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",610235,中国联通,信息服务
5," WINDSTREAM, US",558701,温泉,信息服务
6," ASN-IBSNAZ, IT",499967,ASN-IBSNAZ,IT
7," KIXS-AS-KR Korea Telecom, KR",349749,韩国电信,信息服务
8,"  CENTURYLINK-US-LEGACY-QWEST, US",291473,美国世纪互联-US-传承-Qwest,信息服务
9," IPG-AS-AP Philippine Long Distance Telephone Company, PH",279452,菲律宾长途电话公司,公共通信
10,"CHARTER-20115, US",271251,CHARTER-20115,网络安全
11," KPN KPN National, NL",251993,KPN KPN National,公共通信
12,"  UUNET, US",240195,优嘉联网,信息服务
13," CHINAMOBILE-CN China Mobile Communications Group Co., Ltd., CN",211175,中国移动通信集团有限公司,公共通信
14,"UCOM ARTERIA Networks Corporation, JP",196724,UCOM ARTERIA Networks Corporation,信息服务
15," France Telecom - Orange, FR",192608,法国电信-Orange,公共通信
16,"TWC-10796-MIDWEST, US",179613,中西部公司,信息服务
17," GTT-BACKBONE GTT, US",164975,GTT-BACKBONE GTT,公共通信
18," A1TELEKOM-AT A1 Telekom Austria AG, AT",161209,A1 Telekom Austria AG,公共通信
19," DTAG Internet service provider operations, DE",157212,DTAG互联网服务提供商运行，德国,信息服务
20," HINET Data Communication Business Group, TW",146125,台湾华人国际电话股份有限公司(HINET数据通信业务群组),信息服务
21,"TWC-11427-TEXAS, US",131752,TWC-11427-德克萨斯州，美国,信息服务
22," BBIL-AP BHARTI Airtel Ltd., IN",131295,印度联通有限公司,电信
23," TPNET, PL",127238,TPNET,信息服务
24,"OVH, FR",122054,OVH,云计算数据中心
25," BT-UK-AS BTnet UK Regional network, GB",115344,英国BT公司,公共通信
26," NTL, GB",109815,中国联通,信息服务
27," OCN NTT Communications Corporation, JP",105527,OCN NTT通信公司,信息服务
28,"TWC-20001-PACWEST, US",104313,太平洋西部公司,证券
29,"BHN-33363, US",100949,BHN-33363,网络安全
30," CABLE-NET-1, US",93205,公司全名,所属行业
31," SKB-AS SK Broadband Co Ltd, KR",92927,SK Broadband Co Ltd,信息服务
32," TDC TDC AS, DK",92417,TDC TDC AS,信息服务
33,"TWC-11426-CAROLINAS, US",91973,TWC-11426-CAROLINAS,信息服务
34,"TWC-11351-NORTHEAST, US",81878,东北公司,电力
35," LVLT-3549, US",76640,LVLT-3549,信息服务
36," LEVEL3, US",75364,LEVEL3,网络安全
37,"  COGENT-174, US",74733,COGENT-174,公共通信
38,"FASTWEB, IT",74259,快网,信息服务
39," CHINANET-SH-AP China Telecom Group, CN",69960,中国电信集团公司,公共通信
40,"GIGAINFRA SoftBank Corp., JP",67425,GIGAINFRA SoftBank Corp.,信息服务
41," VODANET International IP-Backbone of Vodafone, DE",61771,沃达网国际Vodafone IP骨干,公共通信
42,"PLUSNET *****************, DE",61492,"PLUSNET *****************, DE",信息服务
43," COLT COLT Technology Services Group Limited, GB",61271,科尔特科技服务集团有限公司,信息服务
44,"TNF-AS, NL",60814,TNF-AS,信息服务
45," ASN-TELSTRA Telstra Corporation Ltd, AU",60774,特尔斯特拉有限公司,公共通信
46," BT-ITALIA, IT",58819,意大利BT,信息服务
47,"US-TELEPACIFIC, US",50575,美国-电报太平洋,云计算数据中心
48,"  BACOM, CA",49592,工商银行,银行
49," CHINA169-BJ China Unicom Beijing Province Network, CN",47437,中国联通北京公司,信息服务
50," UNINET, MX",47197,联通网络,信息服务
51,"HETZNER-AS, DE",46729,赫兹纳,云计算数据中心
52,"TWC-12271-NYC, US",46468,TWC-12271-NYC,网络安全
53," KDDI KDDI CORPORATION, JP",46382,KDDI CORPORATION,信息服务
54,"  ROGERS-COMMUNICATIONS, CA",45424,罗杰斯通信,公共通信
55,"TELEFONICA BRASIL S.A, BR",45228,巴西电信,公共通信
56," KAZTELECOM-AS, KZ",40614,哈萨克斯坦电信公司,公共通信
57,"CMNET-ZHEJIANG-AP China Mobile communications corporation, CN",40538,中国移动通信公司,公共通信
58,"CMNET-JIANGSU-AP China Mobile communications corporation, CN",40500,中国移动通信公司,信息服务
59," V tal, BR",39753,V tal,信息服务
60,"BHARTI-MOBILITY-AS-AP Bharti Airtel Ltd. AS for GPRS Service, IN",38638,Bharti Airtel Ltd.,公共通信
61," Telecom Argentina S.A., AR",38266,阿根廷电信公司,公共通信
62," ZAYO-6461, US",37869,ZAYO-6461,信息服务
63," CLARANET-AS ClaraNET LTD, GB",36998,克拉拉网有限公司,信息服务
64," CNIX-AP China Networks Inter-Exchange, CN",36881,中国网络互联交换中心,公共通信
65," BSNL-NIB National Internet Backbone, IN",36680,南方电信,公共通信
66," FRONTIER-FRTR, US",35556,FRONTIER-FRTR,信息服务
67,"LDCOMNET, FR",34948,LDCOMNET,信息服务
68," TELEFONICA_DE_ESPANA, ES",33500,西班牙电信,电力
69,"AS-COMPLETEL, FR",33231,AS-COMPLETEL,公共通信
70,"AS-NETIA Warszawa 02-822, PL",32232,"AS-NETIA Warszawa 02-822, PL",信息服务
71,"  TELUS Communications, CA",30741,TELUS Communications,信息服务
72," TPG-INTERNET-AP TPG Telecom Limited, AU",30622,TPG Telecom Limited,信息服务
73," TELIANET-SWEDEN Telia Company, SE",29722,Telia Company,信息服务
74,"ROSTELECOM-AS, RU",29616,俄罗斯电信公司,公共通信
75," MICROSOFT-CORP-MSN-AS-BLOCK, US",29545,微软公司,云计算数据中心
76,"CNCGROUP-SH China Unicom Shanghai network, CN",29344,中国联通上海网络有限公司,公共通信
77,"RACKSPACE, US",28943,雷科思科技,云计算数据中心
78,"VNET-AS, SK",28751,维信网络有限公司,云计算数据中心
79," TE-AS TE-AS, EG",28724,TE-AS,信息服务
80,"VODAFONE_ES, ES",27862,沃达丰,公共通信
81," CENTURYLINK-LEGACY-SAVVIS, US",27569,世纪互联-传统-萨维斯,云计算数据中心
82," TDS-AS, US",26641,TDS-AS,信息服务
83," SPRINTLINK, US",26438,美国电信公司,信息服务
84,"PROXAD, FR",25613,蒲隆达,信息服务
85," BELPAK-AS BELPAK, BY",25459,"BELPAK-AS BELPAK, BY",信息服务
86," BELLSOUTH-NET-BLK, US",24843,美国贝尔南公司,公共通信
87,"  ELISA-AS Helsinki, Finland, FI",24268,ELISA-AS,信息服务
88,"TELLCOM-AS, TR",24193,电信通讯集团有限公司,信息服务
89," TDDE-ASN1, DE",24073,"TDDE-ASN1, DE",科研院校
90," NV-ASN CELLCOM ltd., IL",24010,NV-ASN CELLCOM ltd.,公共通信
91," CLARO S.A., BR",23994,"CLARO S.A., BR",公共通信
92,"POWERVIS-AS-KR LG POWERCOMM, KR",23973,LG电信（韩国）,公共通信
93," ASN-WINDTRE IUNET, IT",23837,意大利风电网络公司,信息服务
94," SINGNET SingNet, SG",23710,新加坡电信,信息服务
95,"RMH-14, US",23684,RMH-14,信息服务
96," MULTIMEDIA-AS-AP Hoshin Multimedia Center Inc., TW",23384,合盛多媒体中心股份有限公司,信息服务
97,"GOOGLE, US",22684,谷歌,信息服务
98," BSKYB-BROADBAND-AS, GB",22666,SKY UK LIMITED,信息服务
99,"SONET-TW Sony Network Taiwan Limited, TW",22617,索尼网络台湾有限公司,信息服务
100," MTS, RU",22490,,
101," SEEDNET Digital United Inc., TW",22315,台湾数仓数位联合股份有限公司,信息服务
102,"CMNET-GUANGDONG-AP China Mobile communications corporation, CN",21889,中国移动通信公司,公共通信
103,"RACKSPACE-LON, GB",21571,英特尔,半导体
104," IAM-AS, MA",21538,IAM-AS,信息服务
105,"SOFTLAYER, US",21223,软层,云计算数据中心
106," TWELVE99 Arelion, fka Telia Carrier, SE",20876,"TWELVE99 Arelion, fka Telia Carrier, SE",公共通信
107," CW Vodafone Group PLC, EU",20860,沃达丰集团,公共通信
108," ABUL-14-7385, US",19906,"ABUL-14-7385, US",信息服务
109," TMA Magenta Telekom, AT",19717,TMA Magenta Telekom,公共通信
110,"IWEB-AS, CA",19173,雅培工业,医院
111,"LIGHTOWER, US",19096,LIGHTOWER,公共通信
112," NTT-LTD-2914, US",19077,NTT-LTD-2914,网络安全
113,"CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd, CN",18744,河南移动通信有限公司,公共通信
114,"NITEL, US",18495,美国国家电信公司,电信
115," TELE2, EU",18454,电信二公司,信息服务
116," AAPT AAPT Limited, AU",18350,澳洲电信有限公司,公共通信
117," LGDACOM LG DACOM Corporation, KR",18092,LG DACOM Corporation,信息服务
118,"AKAMAI-AS, US",17957,阿卡迈科技公司,云计算数据中心
119," SHAW, CA",17858,大华股份有限公司,电子
120,"VNPT-AS-VN VNPT Corp, VN",17456,越南邮电公司,信息服务
121," SWISSCOM Swisscom Switzerland Ltd, CH",17402,瑞士电信公司,公共通信
