rank,name,link
1,百度,www.baidu.com
2,腾讯网,qq.com
3,知乎,zhihu.com
4,网易,163.com
5,新浪网,sina.com.cn
6,搜狐,sohu.com
7,豆瓣,douban.com
8,优酷网,youku.com
9,CSDN,csdn.net
10,中关村在线,zol.com.cn
11,哔哩哔哩弹幕视频网,bilibili.com
12,好搜,so.com
13,CSDN博客,blog.csdn.net
14,搜狗,sogou.com
15,阿里巴巴1688,1688.com
16,豆瓣电影,movie.douban.com
17,知乎专栏,zhuanlan.zhihu.com
18,京东商城,jd.com
19,爱奇艺,iqiyi.com
20,东方财富网,eastmoney.com
21,凤凰网,ifeng.com
22,新浪微博,weibo.com
23,58同城 ,58.com
24,腾讯视频,v.qq.com
25,2345网址导航,2345.com
26,搜狐视频,tv.sohu.com
27,本地宝,bendibao.com
28,3DMGAME,3dmgame.com
29,汽车之家,autohome.com.cn
30,酷狗音乐,kugou.com
31,太平洋汽车网,pcauto.com.cn
32,携程旅行网,ctrip.com
33,喜马拉雅FM,ximalaya.com
34,华律网,66law.cn
35,中国天气网,weather.com.cn
36,天气网,tianqi.com
37,汉典,zdic.net
38,电视猫,tvmao.com
39,人民网,people.com.cn
40,39健康网,39.net
41,电影网,1905.com
42,无忧考网,51test.net
43,搜狐新闻,news.sohu.com
44,出国留学网,liuxue86.com
45,苹果官方网站,apple.com
46,起点中文网,qidian.com
47,微软必应搜索,bing.com
48,LOFTER,lofter.com
49,QQ音乐,y.qq.com
50,必应,cn.bing.com
51,晋江文学城,jjwxc.net
52,IP地址查询,ip138.com
53,微信公众平台,mp.weixin.qq.com
54,应届毕业生求职网,www.yjbys.com
55,豌豆荚,wandoujia.com
56,中学语文教学资源网,ruiwen.com
57,律图,64365.com
58,快递100,kuaidi100.com
59,爱词霸,iciba.com
60,高三网,gaosan.com
61,360安全中心,360.cn
62,金投网,cngold.org
63,2345天气预报,tianqi.2345.com
64,大学生必备网,dxsbb.com
65,中国竞彩网,sporttery.cn
66,搜狐娱乐,yule.sohu.com
67,中国大学网,unjs.com
68,腾讯读书,book.qq.com
69,小红书,xiaohongshu.com
70,西瓜视频,www.ixigua.com
71,排行榜123网,phb123.com
72,抖音短视频,www.douyin.com
73,红袖添香,hongxiu.com
74,CCTV节目官网,tv.cctv.com
75,中国体彩网,lottery.gov.cn
76,中国福彩网,cwl.gov.cn
77,爱查快递,ickd.cn
78,有途网,ccutu.com
79,起名网,yw11.com
80,虎扑体育,hupu.com
81,淘宝网,taobao.com
82,站长之家,chinaz.com
83,4399小游戏,4399.com
84,太平洋电脑网,pconline.com.cn
85,游侠网,ali213.net
86,有道,youdao.com
87,游民星空,gamersky.com
88,国家税务总局,chinatax.gov.cn
89,乐彩网,17500.cn
90,豆丁文库,docin.com
91,车主指南,icauto.com.cn
92,博客园,cnblogs.com
93,东方财富行情中心,quote.eastmoney.com
94,中华网,china.com
95,3D之家,ssqzj.com
96,360doc个人图书馆,360doc.com
97,优游网_,yoyou.com
98,海词词典,dict.cn
99,18183,18183.com
100,酷我音乐,kuwo.cn
101,360doc个人图书馆,360doc.cn
102,新浪财经,finance.sina.com.cn
103,沪江网,hujiang.com
104,道客巴巴,doc88.com
105,买购网,maigoo.com
106,周公解梦,zgjm.org
107,简书,jianshu.com
108,彩宝贝,78500.cn
109,网易应用中心,m.163.com
110,有问必答网,120ask.com
111,华军软件园,onlinedown.net
112,360影视,360kan.com
113,查字典,www.chazidian.com
114,腾讯,tencent.com
115,中国知网,cnki.net
116,华为,huawei.com
117,中华网新闻频道,news.china.com
118,什么值得买,smzdm.com
119,乐视网,le.com
120,微软官网,www.microsoft.com
121,飞卢中文网,faloo.com
122,前程无忧,51job.com
123,中公教育网,offcn.com
124,谷歌中国,google.cn
125,虎牙直播,huya.com
126,搜房网房天下,fang.com
127,中国教育考试网,neea.edu.cn
128,牛彩网,cz89.com
129,超星网,chaoxing.com
130,华图教育官网,huatu.com
131,爱站网,aizhan.com
132,千篇网,qianp.com
133,广东省人民政府门户网站,gd.gov.cn
134,脚本之家,jb51.net
135,九游手机网游,9game.cn
136,中国日报网,chinadaily.com.cn
137,安居客,anjuke.com
138,深圳政府在线,sz.gov.cn
139,顺丰快递官网,sf-express.com
140,8684公交网,8684.cn
141,QQ邮箱,mail.qq.com
142,500彩票网,500.com
143,澎湃新闻,thepaper.cn
144,雪球,xueqiu.com
145,顺企商务网,11467.com
146,蚂蜂窝,mafengwo.cn
147,中国新闻网,chinanews.com
148,中国广播网,cnr.cn
149,第一范文网,diyifanwen.com
150,央视网,cntv.cn
151,逗游网,doyo.cn
152,中国供应商,china.cn
153,新华网,xinhuanet.com
154,中关村在线报价查询频道,detail.zol.com.cn
155,找法网,findlaw.cn
156,和讯网,hexun.com
157,中国网,china.com.cn
158,多多软件站,ddooo.com
159,Alibaba国际站,alibaba.com
160,闽南网,mnw.cn
161,东方财富网股吧,guba.eastmoney.com
162,学习啦,xuexila.com
163,搜狐体育,sports.sohu.com
164,欣欣旅游网,cncn.com
165,黄页88网,huangye88.com
166,去哪儿,qunar.com
167,苹果官网,apple.com.cn
168,图吧,mapbar.com
169,中央气象台网,nmc.cn
170,猫眼电影,maoyan.com
171,东坡下载,uzzf.com
172,网易云音乐,music.163.com
173,当易网 ,downyi.com
174,绿色资源网,downcc.com
175,小站教育,zhan.com
176,语文迷,yuwenmi.com
177,华为手机官网,consumer.huawei.com
178,苏宁易购,suning.com
179,好大夫在线,haodf.com
180,北京天气预报,beijing.tianqi.com
181,2265安卓网,2265.com
182,中国足彩网,zgzcw.com
183,中国研究生招生信息网,yz.chsi.com.cn
184,Hao123,hao123.com
185,装修123网,zx123.cn
186,齐家网,jia.com
187,谷歌中国,google.com.hk
188,纵横中文网,zongheng.com
189,职友集,jobui.com
190,新东方在线,koolearn.com
191,澳客彩票网,okooo.com
192,游久网,uuu9.com
193,e书联盟,book118.com
194,5068儿童网,5068.com
195,17173,17173.com
196,百分网,oh100.com
197,第1星座,d1xz.net
198,央视网体育频道,sports.cctv.com
199,希财网,csai.cn
200,大众网,dzwww.com
201,楼盘网,loupan.com
202,中国教育在线,eol.cn
203,米胖网,mipang.com
204,河南省人民政府门户网站,henan.gov.cn
205,新片场,xinpianchang.com
206,太平洋亲子网,pcbaby.com.cn
207,国际在线,cri.cn
208,法律快车,lawtime.cn
209,中国邮政速递物流,ems.com.cn
210,漫漫看,manmankan.com
211,潇湘书院,xxsy.net
212,企查查,qcc.com
213,腾讯客服,kf.qq.com
214,99健康网,99.com.cn
215,天眼查,tianyancha.com
216,搜狗百科,baike.sogou.com
217,163网易免费邮,mail.163.com
218,二手车之家,che168.com
219,卜易居,buyiju.com
220,什么值得买的值客原创频道,post.smzdm.com
221,淘股吧,taoguba.com.cn
222,幼儿学习网,jy135.com
223,乐乐课堂,leleketang.com
224,中彩网,zhcw.com
225,天极网,yesky.com
226,卡车之家,360che.com
227,CN人才网,cnrencai.com
228,飞华健康网,fh21.com.cn
229,南方财富网,southmoney.com
230,豆瓣读书,book.douban.com
231,支付宝,alipay.com
232,搜搜,soso.com
233,奥迅球探网,titan007.com
234,健康界,cn-healthcare.com
235,A 医学百科,a-hospital.com
236,PC6下载站,pc6.com
237,07073游戏网,07073.com
238,下载之家软件站,downza.cn
